clave,dua,aduana,anio,correlativo,fecha,ruc,agente,partida,canal,n_series,fob,cif,peso_neto,peso_bruto
118-2026-220701-4011101000,118-2026-220701,118,2026,220701,2026-05-10,20112273922,3728,4011101000,VERDE,11,77682.52,82613.73,25290.0,25290.0
118-2026-220867-4011101000,118-2026-220867,118,2026,220867,2026-05-11,20318171701,6496,4011101000,VERDE,42,213242.9,228962.96,93340.0,93340.0
118-2026-221089-4011101000,118-2026-221089,118,2026,221089,2026-05-11,20318171701,8359,4011101000,VERDE,13,51908.5,53159.07,12200.0,12200.0
118-2026-221499-4011101000,118-2026-221499,118,2026,221499,2026-05-11,20606219165,8340,4011101000,VERDE,30,26854.77,29735.33,11117.2,11117.2
118-2026-221802-4011101000,118-2026-221802,118,2026,221802,2026-05-11,20100012856,0221,4011101000,VERDE,17,77698.14,81993.61,19290.0,19290.0
118-2026-222121-4011101000,118-2026-222121,118,2026,222121,2026-05-12,20492565319,7026,4011101000,VERDE,17,45702.68,48670.58,10650.0,10650.0
118-2026-222184-4011101000,118-2026-222184,118,2026,222184,2026-05-12,20318171701,6496,4011101000,VERDE,39,119597.6,131753.44,56350.0,56350.0
118-2026-222205-4011101000,118-2026-222205,118,2026,222205,2026-05-12,20492565319,7026,4011101000,VERDE,21,101477.55,111852.28,32260.0,32260.0
118-2026-222242-4011101000,118-2026-222242,118,2026,222242,2026-05-12,20492565319,7396,4011101000,VERDE,25,37790.12,41197.24,10194.12,10560.0
118-2026-222463-4011101000,118-2026-222463,118,2026,222463,2026-05-12,20140441083,2585,4011101000,VERDE,46,38157.86,41515.22,10450.0,10450.0
118-2026-222766-4011101000,118-2026-222766,118,2026,222766,2026-05-12,20502911385,0177,4011101000,VERDE,26,51582.8,56942.8,23420.0,23420.0
118-2026-223307-4011101000,118-2026-223307,118,2026,223307,2026-05-12,20606219165,8340,4011101000,VERDE,9,28685.98,31572.03,11386.0,11386.0
118-2026-223514-4011101000,118-2026-223514,118,2026,223514,2026-05-12,20318171701,6496,4011101000,VERDE,78,154493.55,157572.3,18543.0,18543.0
118-2026-223527-4011101000,118-2026-223527,118,2026,223527,2026-05-12,20100012856,0221,4011101000,VERDE,7,56831.58,59249.05,13940.0,13940.0
118-2026-223697-4011101000,118-2026-223697,118,2026,223697,2026-05-12,20318171701,6496,4011101000,VERDE,39,201291.29,219250.86,102020.0,102020.0
118-2026-224055-4011101000,118-2026-224055,118,2026,224055,2026-05-13,20140441083,6171,4011101000,VERDE,48,95404.4,107788.99,42085.0,44300.0
118-2026-224304-4011101000,118-2026-224304,118,2026,224304,2026-05-13,20140441083,6171,4011101000,VERDE,36,56167.3,58118.47,8882.5,9350.0
118-2026-224371-4011101000,118-2026-224371,118,2026,224371,2026-05-13,20140441083,6171,4011101000,VERDE,30,57953.26,59807.65,8407.5,8850.0
118-2026-224801-4011101000,118-2026-224801,118,2026,224801,2026-05-13,20606219165,8340,4011101000,VERDE,14,22945.94,25964.77,11440.0,11440.0
118-2026-225469-4011101000,118-2026-225469,118,2026,225469,2026-05-13,20318171701,6496,4011101000,VERDE,18,126125.6,139495.31,56450.0,56450.0
118-2026-226740-4011101000,118-2026-226740,118,2026,226740,2026-05-14,20608482084,7422,4011101000,NARANJA,2,51521.27,54803.65,18140.0,18350.0
118-2026-227135-4011101000,118-2026-227135,118,2026,227135,2026-05-14,20140441083,6171,4011101000,VERDE,23,52558.04,54953.86,10022.5,10550.0
118-2026-227319-4011101000,118-2026-227319,118,2026,227319,2026-05-14,20140441083,6171,4011101000,VERDE,11,47807.7,50693.81,8198.5,8630.0
118-2026-227341-4011101000,118-2026-227341,118,2026,227341,2026-05-14,20608010654,8331,4011101000,NARANJA,40,49832.05,58007.53,20767.0,21670.0
118-2026-228058-4011101000,118-2026-228058,118,2026,228058,2026-05-14,20100012856,0221,4011101000,VERDE,36,55242.48,58092.48,7778.0,7778.0
118-2026-228130-4011101000,118-2026-228130,118,2026,228130,2026-05-14,20506634858,6496,4011101000,VERDE,8,67407.7,72443.9,22740.0,22740.0
118-2026-228531-4011101000,118-2026-228531,118,2026,228531,2026-05-14,20606219165,8340,4011101000,VERDE,19,27330.04,30212.87,11363.94,11363.94
118-2026-228612-4011101000,118-2026-228612,118,2026,228612,2026-05-14,20318171701,6496,4011101000,VERDE,40,83066.45,84564.71,7900.0,7900.0
118-2026-228617-4011101000,118-2026-228617,118,2026,228617,2026-05-14,20318171701,6496,4011101000,VERDE,30,108201.46,117796.33,49030.0,49030.0
118-2026-228723-4011101000,118-2026-228723,118,2026,228723,2026-05-14,20551933041,6658,4011101000,VERDE,3,60690.5,66600.85,20442.5,20772.79
118-2026-228987-4011101000,118-2026-228987,118,2026,228987,2026-05-15,20381499627,4920,4011101000,VERDE,39,162530.7,175771.49,57360.0,57360.0
118-2026-229099-4011101000,118-2026-229099,118,2026,229099,2026-05-15,20492565319,7396,4011101000,VERDE,35,101961.94,107922.98,26174.16,27530.0
118-2026-229217-4011101000,118-2026-229217,118,2026,229217,2026-05-15,20551933041,6658,4011101000,VERDE,16,55692.97,62956.36,18455.2,19080.0
118-2026-229336-4011101000,118-2026-229336,118,2026,229336,2026-05-15,20297970489,3307,4011101000,VERDE,18,27213.4,29991.43,11020.0,11020.0
118-2026-229518-4011101000,118-2026-229518,118,2026,229518,2026-05-15,20318171701,8359,4011101000,VERDE,18,28264.0,30479.23,11580.0,11580.0
118-2026-229684-4011101000,118-2026-229684,118,2026,229684,2026-05-15,20100084768,1225,4011101000,VERDE,22,210176.47,215587.0,51889.08,52720.0
118-2026-229812-4011101000,118-2026-229812,118,2026,229812,2026-05-15,20318171701,8359,4011101000,VERDE,26,132600.1,144762.45,60150.0,60150.0
118-2026-229814-4011101000,118-2026-229814,118,2026,229814,2026-05-15,20608482084,7422,4011101000,NARANJA,4,33100.92,36321.71,12280.0,12380.0
118-2026-229839-4011101000,118-2026-229839,118,2026,229839,2026-05-15,20381499627,4920,4011101000,VERDE,18,101893.0,109453.0,48470.0,48470.0
118-2026-229920-4011101000,118-2026-229920,118,2026,229920,2026-05-15,20318171701,6437,4011101000,VERDE,42,152585.28,168329.4,71980.0,71980.0
118-2026-230463-4011101000,118-2026-230463,118,2026,230463,2026-05-15,20318171701,6437,4011101000,VERDE,47,163913.52,182274.61,75900.0,75900.0
